iter	Passed	Remaining
0	173	173796
1	258	128941
2	350	116639
3	434	108219
4	538	107153
5	627	103877
6	702	99622
7	781	96951
8	856	94353
9	937	92778
10	1006	90518
11	1077	88736
12	1153	87567
13	1235	87029
14	1306	85778
15	1373	84462
16	1441	83332
17	1511	82437
18	1581	81649
19	1646	80676
20	1714	79944
21	1784	79312
22	1853	78713
23	1918	78030
24	1987	77496
25	2058	77124
26	2122	76505
27	2189	76015
28	2259	75637
29	2327	75270
30	2405	75181
31	2471	74760
32	2539	74429
33	2602	73948
34	2663	73429
35	2731	73130
36	2795	72760
37	2859	72382
38	2926	72122
39	2998	71955
40	3060	71579
41	3127	71336
42	3188	70969
43	3250	70624
44	3313	70322
45	3380	70110
46	3449	69943
47	3514	69696
48	3579	69475
49	3642	69207
50	3705	68955
51	3763	68610
52	3833	68490
53	3898	68302
54	3970	68221
55	4031	67967
56	4094	67739
57	4162	67611
58	4238	67607
59	4309	67520
60	4377	67379
61	4446	67269
62	4507	67044
63	4582	67019
64	4644	66805
65	4709	66652
66	4776	66512
67	4839	66333
68	4905	66194
69	4970	66033
70	5039	65938
71	5110	65862
72	5188	65885
73	5251	65715
74	5323	65661
75	5385	65474
76	5450	65329
77	5517	65225
78	5585	65116
79	5651	64996
80	5720	64907
81	5786	64780
82	5847	64602
83	5914	64495
84	5979	64362
85	6044	64236
86	6114	64172
87	6184	64090
88	6250	63974
89	6322	63923
90	6399	63923
91	6469	63854
92	6536	63750
93	6602	63640
94	6670	63542
95	6735	63425
96	6806	63363
97	6869	63228
98	6935	63120
99	7008	63076
100	7075	62982
101	7147	62924
102	7214	62831
103	7284	62759
104	7351	62660
105	7418	62569
106	7484	62465
107	7563	62469
108	7629	62364
109	7694	62252
110	7756	62121
111	7821	62016
112	7890	61933
113	7959	61856
114	8033	61826
115	8102	61745
116	8168	61646
117	8232	61533
118	8292	61390
119	8389	61524
120	8461	61465
121	8528	61377
122	8598	61308
123	8666	61226
124	8741	61188
125	8810	61113
126	8878	61030
127	8944	60933
128	9013	60855
129	9088	60819
130	9151	60709
131	9218	60618
132	9283	60518
133	9354	60452
134	9417	60340
135	9486	60267
136	9555	60191
137	9627	60137
138	9695	60058
139	9768	60006
140	9841	59957
141	9906	59854
142	9979	59806
143	10046	59721
144	10109	59611
145	10177	59528
146	10248	59467
147	10317	59393
148	10383	59305
149	10462	59286
150	10525	59180
151	10593	59099
152	10657	58999
153	10724	58914
154	10793	58842
155	10858	58746
156	10932	58703
157	11001	58628
158	11076	58586
159	11141	58491
160	11204	58388
161	11266	58282
162	11344	58252
163	11416	58198
164	11491	58156
165	11559	58074
166	11622	57975
167	11699	57939
168	11774	57899
169	11845	57833
170	11915	57763
171	11977	57657
172	12038	57549
173	12105	57465
174	12186	57452
175	12290	57539
176	12385	57587
177	12467	57576
178	12547	57548
179	12626	57522
180	12699	57465
181	12924	58087
182	13227	59052
183	13515	59940
184	13796	60779
185	14145	61905
186	14515	63107
187	14842	64107
188	15063	64637
189	15261	65064
190	15430	65355
191	15745	66260
192	16103	67333
193	16499	68548
194	16779	69268
195	17129	70265
196	17428	71040
197	17536	71030
198	17626	70948
199	17739	70956
200	17848	70948
201	17928	70827
202	18000	70672
203	18077	70536
204	18147	70375
205	18219	70225
206	18293	70082
207	18367	69935
