iter	Logloss	Accuracy	Precision	Recall	F1
0	0.6313528647	0.8789213444	0.8545084706	0.9133533479	0.8829515568
1	0.5800756004	0.8870255477	0.8654916822	0.9164843105	0.8902583995
2	0.5367858057	0.8933461979	0.8730992478	0.920479662	0.8961636381
3	0.5008282774	0.8924500427	0.8731215264	0.9183511431	0.8951653748
4	0.4701163569	0.8935637546	0.8736384834	0.9202275915	0.8963280467
5	0.4422370876	0.89576422	0.878407589	0.9186979976	0.8981011457
6	0.4179986557	0.8962965214	0.8790355294	0.9190661441	0.8986052418
7	0.3967794411	0.8977438662	0.8794734217	0.9218172839	0.9001476534
8	0.3779348153	0.8997933984	0.8823757014	0.9225690309	0.9020248445
9	0.3615737259	0.9010906684	0.8820422437	0.9260204047	0.9034964758
10	0.3463136608	0.9026194038	0.8829468308	0.9283051797	0.9050580612
11	0.3332265711	0.9036688962	0.8848627386	0.9281011881	0.9059663537
12	0.3214705675	0.9044898423	0.8870807504	0.926977517	0.9065904069
13	0.3105339144	0.9057651335	0.8880737561	0.9285589673	0.907865238
14	0.3004565475	0.9068906934	0.8883409402	0.9307740281	0.9090625822
15	0.2918581283	0.9073460687	0.8888525363	0.9311256904	0.9094981681
16	0.2836911399	0.9080969572	0.8897191983	0.9316751629	0.9102139511
17	0.2745773972	0.9098592183	0.8917997848	0.9329059811	0.9118898715
18	0.2672709875	0.9111989008	0.8934917426	0.9336989386	0.9131529624
19	0.2607350185	0.9125569563	0.8957405736	0.9338036817	0.914376182
20	0.2553123821	0.9133626202	0.8964700364	0.9346663535	0.9151698197
21	0.2503145758	0.9138415198	0.896572627	0.9356141934	0.9156774472
22	0.2446776489	0.9150051994	0.8988329211	0.9352797021	0.9166941834
23	0.2394128148	0.9160297938	0.9003922847	0.9355575291	0.9176381345
24	0.2354930802	0.9167169777	0.9014888849	0.9356815038	0.9182670052
25	0.2315692348	0.9180272978	0.9032371017	0.9363666272	0.9195035487
26	0.2281371002	0.91857574	0.9040726721	0.9365218532	0.9200112275
27	0.2248713498	0.9192306424	0.9048686346	0.9369672693	0.9206382521
28	0.221711775	0.9196283231	0.9050630016	0.9376074047	0.921047811
29	0.2178930053	0.9206154847	0.9062810881	0.938256469	0.9219916291
30	0.2152434616	0.9208763124	0.9061225423	0.9390404975	0.9222878895
31	0.2119616197	0.9218863114	0.907316609	0.9397712958	0.9232588261
32	0.2093055588	0.9226389169	0.9079778885	0.9406068374	0.9240043998
33	0.2075373322	0.9230477588	0.9089569997	0.9402754368	0.9243510151
34	0.2053425045	0.9237327105	0.9093284695	0.9413276765	0.9250514281
35	0.2032427911	0.9243051921	0.9105093026	0.9411085744	0.9255561014
36	0.2009505073	0.925129229	0.9116518989	0.9414990432	0.9263351096
37	0.1992997144	0.9252889195	0.9115842573	0.9419375909	0.9265123905
38	0.1979695529	0.9254745381	0.9119357146	0.9419077134	0.9266794279
39	0.1967270887	0.9257788085	0.9125996083	0.94174974	0.926945556
40	0.1948767416	0.9262793435	0.9128015175	0.9426041697	0.9274634895
41	0.1932521296	0.9266213901	0.9131245062	0.9429565189	0.9278007738
42	0.1920056809	0.9271785895	0.913724478	0.9434383375	0.9283437029
43	0.1908633438	0.9272726867	0.9136970027	0.9436804488	0.928446716
44	0.1898774646	0.9273461786	0.914070785	0.9433765219	0.9284924689
45	0.1887435381	0.9277792316	0.914649333	0.9436117648	0.9289048479
46	0.187701013	0.9280591191	0.9150853326	0.9436869738	0.929166101
47	0.1867264788	0.9283517132	0.9152844223	0.9440846545	0.9294614914
48	0.1855488116	0.9287267281	0.9157581827	0.9443229881	0.9298212541
49	0.1844249526	0.9290710069	0.9164872141	0.9441780648	0.9301265886
50	0.1835149025	0.9293818023	0.9166341773	0.9446801452	0.9304458653
51	0.1825261474	0.9296618615	0.916951077	0.9449043987	0.9307178966
52	0.1818406949	0.9298758124	0.9173475767	0.9448851671	0.9309127671
53	0.1810221215	0.9302312523	0.9177659233	0.9451502876	0.9312568341
