iter	Passed	Remaining
0	270	40287
1	445	32940
2	616	30214
3	795	29042
4	975	28277
5	1144	27463
6	1321	27000
7	1488	26416
8	1678	26293
9	1834	25679
10	2010	25408
11	2174	25010
12	2356	24829
13	2522	24501
14	2688	24194
15	2847	23846
16	3014	23581
17	3195	23435
18	3374	23269
19	3549	23069
20	3774	23185
21	3941	22933
22	4117	22735
23	4296	22555
24	4472	22361
25	4643	22145
26	4805	21892
27	4993	21756
28	5172	21583
29	5351	21406
30	5635	21634
31	5863	21620
32	6045	21434
33	6219	21221
34	6394	21010
35	6577	20828
36	6761	20648
37	6926	20414
38	7107	20229
39	7306	20092
40	7604	20218
41	8285	21306
42	9030	22471
43	9655	23261
44	10293	24018
45	10948	24753
46	11536	25282
47	12191	25905
48	12388	25536
49	12578	25156
50	12751	24753
51	12933	24374
52	13135	24039
53	13569	24124
54	14005	24190
55	14338	24068
56	14989	24456
57	15522	24622
58	15871	24479
59	16290	24435
60	16571	24177
61	16765	23795
62	16955	23414
63	17155	23052
64	17363	22705
65	17549	22336
66	17730	21964
67	17909	21597
68	18102	21250
69	18278	20889
70	18455	20534
71	18641	20195
72	18822	19854
73	18999	19513
74	19183	19183
75	19383	18873
76	19565	18549
77	19749	18230
78	19933	17914
79	20122	17607
80	20298	17291
81	20482	16985
82	20660	16677
83	20851	16383
84	21025	16078
85	21205	15780
86	21432	15520
87	21658	15259
88	21880	14997
89	22058	14705
90	22256	14430
91	22423	14136
92	22600	13851
93	22770	13565
94	22955	13289
95	23190	13044
96	23368	12768
97	23560	12501
98	23741	12230
99	23936	11968
100	24130	11707
101	24291	11431
102	24465	11163
103	24655	10905
104	24852	10651
105	25031	10390
106	25227	10138
107	25401	9878
108	25600	9629
109	25774	9372
110	25947	9116
111	26116	8861
112	26276	8603
113	26443	8350
114	26649	8110
115	26826	7863
116	27016	7619
117	27220	7381
118	27394	7136
119	27578	6894
120	27760	6653
121	27952	6415
122	28128	6174
123	28314	5936
124	28485	5697
125	28669	5460
126	28839	5222
127	29005	4985
128	29185	4751
129	29370	4518
130	29553	4286
131	29731	4054
132	29913	3823
133	30126	3597
134	30316	3368
135	30499	3139
136	30694	2912
137	30879	2685
138	31056	2457
139	31240	2231
140	31431	2006
141	31609	1780
142	31792	1556
143	31979	1332
144	32167	1109
145	32349	886
146	32519	663
147	32684	441
148	32892	220
149	33093	0
